x,y
0.27,1.30769796
0.28,1.358961309
0.29,1.404326481
0.3,1.43592304
0.31,1.460975754
0.32,1.483216224
0.33,1.504934335
0.34,1.525191293
0.35,1.545324463
0.36,1.561810744
0.37,1.577547867
0.38,1.591046684
0.39,1.601369135
0.4,1.609571183
0.41,1.616256497
0.42,1.619590671
0.43,1.616192199
0.44,1.612908894
0.45,1.606210118
0.46,1.596238643
0.47,1.584753942
0.48,1.56850599
0.49,1.550125472
0.5,1.52648873
0.51,1.504939243
0.52,1.478910048
0.53,1.45213459
0.54,1.424507758
0.55,1.395650694
0.56,1.367076283
0.57,1.33712629
0.58,1.307154204
0.59,1.275481221
0.6,1.245433362
0.61,1.217058111
0.62,1.186945393
0.63,1.157108382
0.64,1.130287572
0.65,1.102104902
0.66,1.075332845
0.67,1.048550909
0.68,1.022890184
0.69,0.997624972
0.7,0.974346864
0.71,0.950930109
0.72,0.929948497
0.73,0.907507999
0.74,0.887476601
0.75,0.867445659
0.76,0.847412732
0.77,0.829071127
0.78,0.810662378
0.79,0.792320456
0.8,0.775779851
0.81,0.761867762
0.82,0.745944449
0.83,0.728732535
0.84,0.716013836
0.85,0.702007719
0.86,0.688635756
0.87,0.674867217
0.88,0.663280487
0.89,0.651100911
0.9,0.640035041
0.91,0.628227041
0.92,0.618070338
0.93,0.606550038
0.94,0.596496557
0.95,0.588168123
0.96,0.578201272
0.97,0.568000066
0.98,0.559891875
0.99,0.551031392
1,0.54191869
1.01,0.534096444
1.02,0.527931664
1.03,0.519009176
1.04,0.512388173
1.05,0.503438894
1.06,0.496734965
1.07,0.490012848
1.08,0.483367827
1.09,0.479742447
1.1,0.47317608
1.11,0.4669241
1.12,0.460059505
1.13,0.456771508
1.14,0.449911064
1.15,0.443603706
1.16,0.440007658
1.17,0.433429204
1.18,0.430086031
1.19,0.422812554
1.2,0.416847885
1.21,0.412167965
1.22,0.406368677
1.23,0.399026343
1.24,0.394973215
1.25,0.389541595
1.26,0.38260143
1.27,0.375548717
1.28,0.372158175
1.29,0.365755065
1.3,0.358967938
1.31,0.352360854
1.32,0.349060519
1.33,0.342000047
1.34,0.335643185
1.35,0.329466401
1.36,0.325691746
1.37,0.318135317
1.38,0.312407657
