x,y
0.279,0
0.280366492,0.017006803
0.290183246,0.091836735
0.309816754,0.176870748
0.33,0.255427255
0.34,0.298321707
0.35,0.338675931
0.36,0.377274662
0.37,0.433984704
0.38,0.469226328
0.39,0.505889958
0.4,0.563492619
0.41,0.60620771
0.42,0.64116534
0.43,0.692727692
0.44,0.727931768
0.45,0.779238669
0.46,0.810529728
0.47,0.850670444
0.48,0.878047461
0.49,0.917269908
0.5,0.939960381
0.51,0.969673538
0.52,0.987985407
0.53,1.009416859
0.54,1.030185534
0.55,1.040083304
0.56,1.053617383
0.57,1.063102369
0.58,1.067271599
0.59,1.073256714
0.6,1.073042917
0.61,1.072786755
0.62,1.068266222
0.63,1.061666167
0.64,1.05664192
0.65,1.049597649
0.66,1.039862452
0.67,1.025184116
0.68,1.014140348
0.69,1.000637003
0.7,0.984892569
0.71,0.970376713
0.72,0.95460012
0.73,0.934379154
0.74,0.917958519
0.75,0.896613301
0.76,0.876278912
0.77,0.858074393
0.78,0.831518458
0.79,0.805835327
0.8,0.781299386
0.81,0.75636068
0.82,0.726031027
