x,y
0.265880619,-0.000457457
0.29,0.0060479
0.318,0.006008257
0.346,0.00976081
0.374,0.024631561
0.402,0.041407762
0.43,0.054790426
0.458,0.068980884
0.486,0.093062867
0.514,0.111481591
0.542,0.144129148
0.57,0.168562143
0.598,0.193687467
0.626,0.223334097
0.654,0.263927497
0.682,0.304249191
0.71,0.332285256
0.738,0.38002143
0.766,0.43578706
0.794,0.501930976
0.822,0.578648096
0.85,0.684867905
0.878,0.820478746
0.894178335,0.910795974
0.906,1.01025088
0.931319086,1.196248856
0.9422535,1.288519979
0.955809875,1.362278508
0.965364775,1.313357731
0.972586588,1.203568161
0.977745026,0.910795974
0.981871776,0.552150046
0.985998526,0.156907594
0.988061901,-0.048032937
0.99,-0.202475457
1.001473839,-0.333485819
1.018,-0.45254302
1.046,-0.529929663
1.074,-0.529929474
1.102,-0.517916183
1.13,-0.471190011
1.158,-0.442901631
1.186,-0.406813298
1.214,-0.367988706
1.242,-0.33379045
1.27,-0.304329797
1.298,-0.270946899
1.326,-0.241524693
1.354,-0.236085065
1.382,-0.227819823
1.41,-0.222551966
1.438,-0.219714406
1.466,-0.209875647
1.494,-0.191602374
1.522,-0.167013735
1.55,-0.146592647
1.578,-0.1277149
1.606,-0.121225094
1.634,-0.120817969
1.662,-0.126781818
1.69,-0.133062544
1.718,-0.132702146
1.746,-0.139109875
1.774,-0.146891833
1.813411938,-0.128545288
1.844362564,-0.113906679
1.85880619,-0.08462946
1.872218128,-0.022415371
