x,y
0.272070744,0.039798719
0.322623434,0.050777676
0.364922623,0.076395242
0.402,0.089095606
0.43,0.096009488
0.458,0.107521049
0.486,0.116298237
0.514,0.121971757
0.542,0.12417232
0.57,0.129849936
0.598,0.134975661
0.626,0.131860898
0.654,0.130379237
0.682,0.122716091
0.71,0.112934111
0.738,0.101847367
0.766,0.095372238
0.794,0.076817223
0.822,0.04620599
0.860316875,-0.031355396
0.891411938,-0.136029167
0.906,-0.240455127
0.937095063,-0.581349797
0.95092115,-0.948307411
0.957111275,-1.167886551
0.962,-1.397841108
0.968459838,-1.592406221
0.971554901,-1.826623971
0.971554901,-2.053522415
0.983935151,-2.397529735
0.988061901,-2.06084172
0.992063375,-1.815357376
1.000442152,-1.555809698
1.018,-1.249479071
1.030361091,-1.094693504
1.046,-0.894287604
1.074,-0.677154433
1.102,-0.553888979
1.13,-0.42202515
1.158,-0.324262468
1.186,-0.261645207
1.214,-0.210806234
1.242,-0.172196943
1.27,-0.137896961
1.298,-0.121107486
1.326,-0.121172756
1.354,-0.11171868
1.382,-0.097998511
1.41,-0.089895668
1.438,-0.069050195
1.468828298,-0.048032937
1.5100958,-0.004117109
1.555490052,0.0105215
1.598820929,-0.004117109
1.644215181,-0.026075023
1.679292557,-0.040713632
1.720560059,-0.011436414
1.765954311,-0.004117109
1.844362564,-0.004117109
1.877376566,-0.004117109
