x,y
0.01,0
0.02,0
0.03,0
0.04,0
0.05,0
0.06,0
0.07,0
0.08,0
0.09,0
0.1,0
0.11,0
0.12,0
0.13,0
0.14,0
0.15,0
0.16,0
0.17,0
0.18,0
0.19,0
0.2,0
0.21,0
0.22,0
0.23,0
0.24,0
0.25,0
0.26,0
0.27,0.003347835
0.28,0.017257084
0.29,0.086118217
0.3,0.136966749
0.31,0.184298469
0.32,0.228583498
0.33,0.266026608
0.34,0.311615245
0.35,0.35237789
0.36,0.400446115
0.37,0.448889985
0.38,0.49945321
0.39,0.542370245
0.4,0.594397915
0.41,0.642848951
0.42,0.690587038
0.43,0.735701064
0.44,0.785766788
0.45,0.824852274
0.46,0.870367368
0.47,0.913820667
0.48,0.955153336
0.49,0.987646647
0.5,1.020195087
0.51,1.052812833
0.52,1.078827765
0.53,1.10572441
0.541310044,1.126767057
0.55,1.146346297
0.56,1.162063207
0.57,1.177358824
0.58,1.186879276
0.59,1.19472452
0.6,1.198319364
0.61,1.202444917
0.62,1.20379063
0.63,1.203160794
0.64,1.198954942
0.65,1.195341519
0.66,1.18939751
0.67,1.180542923
0.68,1.170122636
0.69,1.160246398
0.7,1.14897453
0.71,1.134421363
0.72,1.120777671
0.73,1.104566463
0.74,1.088937374
0.75,1.069378923
0.76,1.050606149
0.77,1.029950933
0.78,1.0067042
0.79,0.982444478
0.8,0.958150248
0.81,0.929152371
0.82,0.89825132
0.83,0.863551141
0.84,0.832527205
0.85,0.785356979
0.86,0.73866809
0.87,0.689342163
0.88,0.636634432
0.89,0.566595894
