x,y
0.03,1.003163229
0.04,1.005277723
0.05,1.007513062
0.06,1.011661709
0.07,1.011771998
0.08,1.016283459
0.09,1.020627016
0.1,1.024807912
0.11,1.030890026
0.12,1.037737288
0.13,1.043819476
0.14,1.050776583
0.15,1.05978554
0.16,1.068209841
0.17,1.0784895
0.18,1.090289302
0.19,1.102374329
0.2,1.118080626
0.21,1.131884117
0.22,1.150436077
0.23,1.168812629
0.24,1.192940205
0.25,1.221184967
0.26,1.251564576
0.27,1.311763007
0.28,1.382111899
0.29,1.406155742
0.3,1.424860826
0.31,1.440131172
0.32,1.4534802
0.33,1.466964517
0.34,1.477281818
0.35,1.48587494
0.36,1.490147948
0.37,1.491658483
0.38,1.491656429
0.39,1.488960017
0.4,1.482416734
0.41,1.471831674
0.42,1.456358767
0.43,1.441036433
0.44,1.419353896
0.45,1.39322331
0.46,1.367153868
0.47,1.336725511
0.48,1.306326503
0.49,1.271548347
0.5,1.232486708
0.51,1.193397843
0.52,1.154270069
0.53,1.1110377
0.54,1.070194367
0.55,1.02743796
0.56,0.983320605
0.57,0.939434717
0.58,0.896002521
0.59,0.852569634
0.6,0.809121328
0.61,0.767833619
0.62,0.726578746
0.63,0.685092846
0.64,0.646308824
0.65,0.607031658
0.66,0.569317759
0.67,0.533417246
0.68,0.497004352
0.69,0.462138824
0.7,0.427408305
0.71,0.394605166
0.72,0.361447514
0.73,0.331558517
0.74,0.301411608
0.75,0.270661278
0.76,0.239732956
0.77,0.212606787
0.78,0.184237758
0.79,0.154626024
