x,y
0.273,1.34
0.280366492,1.355442177
0.3,1.384967806
0.31,1.393699734
0.32,1.407257099
0.33,1.417593935
0.34,1.42450839
0.35,1.429944623
0.36,1.433420625
0.37,1.433225119
0.38,1.429999291
0.39,1.423083669
0.4,1.414012777
0.41,1.400416331
0.42,1.383116009
0.43,1.364167111
0.44,1.339665674
0.45,1.315492708
0.46,1.284463461
0.47,1.255366999
0.48,1.218477034
0.49,1.181970889
0.5,1.145346477
0.51,1.104845538
0.52,1.062610857
0.53,1.025050978
0.54,0.976882281
0.55,0.935211896
0.56,0.89809369
0.57,0.850682445
0.58,0.808197378
0.59,0.766313124
0.6,0.727770784
0.61,0.684425985
0.62,0.64603517
0.63,0.609398352
0.64,0.570744474
0.65,0.535060106
0.66,0.497862085
0.67,0.463596733
0.68,0.433976092
0.69,0.398803104
0.7,0.371022948
0.71,0.337778138
0.72,0.311216239
0.73,0.280452544
0.74,0.255821024
0.75,0.226771271
0.76,0.203710135
