cos,events,err
-1.00,2543.486,147.1745    
-0.96,2404.882,136.4333    
-0.92,2667.078,140.2624    
-0.88,2555.004,135.1850    
-0.84,2631.247,132.1038    
-0.80,2713.196,129.8630    
-0.76,2416.333,117.9416    
-0.72,2541.398,121.1345    
-0.68,2587.964,120.9321    
-0.64,2454.932,117.4795    
-0.60,2435.097,115.5702    
-0.56,2323.237,112.0870    
-0.52,2357.842,113.9323    
-0.48,2285.615,110.5795    
-0.44,2332.764,113.3673    
-0.40,2265.602,111.2811    
-0.36,2167.072,108.1443    
-0.32,2175.205,109.0671    
-0.28,2308.936,111.1660    
-0.24,2375.080,115.0362    
-0.20,2294.753,114.4030    
-0.16,2387.668,116.2542    
-0.12,2078.221,106.4909    
-0.08,2269.799,111.6641    
-0.04,2213.063,111.1897    
-0.00,2240.273,111.2822    
 0.04,2396.449,115.3735    
 0.08,2147.573,108.0719    
 0.12,2275.954,111.8862    
 0.16,2207.281,110.9533    
 0.20,2086.035,106.6316    
 0.24,2094.866,106.0296    
 0.28,2179.369,109.3072    
 0.32,2236.457,111.1441    
 0.36,2240.330,110.3445    
 0.40,2264.721,111.4444    
 0.44,2335.267,112.5183    
 0.48,2085.455,104.4167    
 0.52,2388.156,113.7165    
 0.56,2348.107,111.9979    
 0.60,2416.950,115.3470    
 0.64,2471.149,117.6200    
 0.68,2441.151,117.0028    
 0.72,2451.397,118.8351    
 0.76,2547.564,125.4174    
 0.80,2564.026,129.6680    
 0.84,2397.609,127.6464    
 0.88,2487.917,137.5191    
 0.92,2655.604,144.8257    
 0.96,2627.482,150.5243
