sqrt_s,ReOmega_11,ImOmega_11,ReOmega_12,ImOmega_12,ReOmega_21,ImOmega_21,ReOmega_22,ImOmega_22
0.01,1.00023,0.,0.0000324293,0.,0.000126152,0.,1.00009,0.
0.02,1.00093,0.,0.000129847,0.,0.000505507,0.,1.00036,0.
0.03,1.00209,0.,0.000292642,0.,0.00114078,0.,1.00081,0.
0.04,1.00372,0.,0.00052147,0.,0.00203655,0.,1.00143,0.
0.05,1.00584,0.,0.000817261,0.,0.00319937,0.,1.00224,0.
0.06,1.00845,0.,0.00118123,0.,0.00463789,0.,1.00324,0.
0.07,1.01157,0.,0.00161489,0.,0.00636305,0.,1.00441,0.
0.08,1.01522,0.,0.00212008,0.,0.00838835,0.,1.00578,0.
0.09,1.01941,0.,0.00269898,0.,0.0107301,0.,1.00733,0.
0.1,1.02418,0.,0.00335416,0.,0.013408,0.,1.00908,0.
0.11,1.02956,0.,0.00408861,0.,0.0164454,0.,1.01102,0.
0.12,1.03558,0.,0.00490578,0.,0.0198703,0.,1.01316,0.
0.13,1.04228,0.,0.00580966,0.,0.0237158,0.,1.0155,0.
0.14,1.04972,0.,0.00680484,0.,0.0280219,0.,1.01806,0.
0.15,1.05797,0.,0.00789663,0.,0.0328364,0.,1.02083,0.
0.16,1.06709,0.,0.00909118,0.,0.0382171,0.,1.02382,0.
0.17,1.07717,0.,0.0103956,0.,0.0442351,0.,1.02704,0.
0.18,1.08832,0.,0.0118183,0.,0.050978,0.,1.03049,0.
0.19,1.10069,0.,0.0133692,0.,0.0585565,0.,1.0342,0.
0.2,1.11444,0.,0.01506,0.,0.0671125,0.,1.03816,0.
0.21,1.1298,0.,0.0169053,0.,0.0768329,0.,1.0424,0.
0.22,1.14707,0.,0.018923,0.,0.0879724,0.,1.04693,0.
0.23,1.16667,0.,0.0211362,0.,0.100893,0.,1.05177,0.
0.24,1.18923,0.,0.023576,0.,0.11614,0.,1.05695,0.
0.25,1.21574,0.,0.0262881,0.,0.134614,0.,1.06256,0.
0.26,1.24803,0.,0.0293463,0.,0.158014,0.,1.0686,0.
0.27,1.29041,0.,0.0329034,0.,0.190514,0.,1.07516,0.
0.280401,1.380510,0.013677,0.037334,0.000370,0.271771,0.029485,1.085520,0.000797
0.282083,1.393000,0.031747,0.038180,0.000870,0.272120,0.045706,1.086630,0.001253
0.284204,1.401620,0.053078,0.039068,0.001479,0.272801,0.060769,1.088050,0.001694
0.286479,1.405090,0.072523,0.039872,0.002058,0.273083,0.073909,1.089570,0.002097
0.288601,1.405940,0.086099,0.040564,0.002484,0.273543,0.084560,1.091020,0.002440
0.290282,1.407300,0.094256,0.041138,0.002755,0.273845,0.092357,1.092170,0.002700
0.291297,1.408820,0.098881,0.041507,0.002913,0.274145,0.096889,1.092880,0.002855
