sqrt_s	ReOmega_11	ImOmega_11	ReOmega_12	ImOmega_12	ReOmega_21	ImOmega_21	ReOmega_22	ImOmega_22
0	1	0	0	0	0	0	1	0
0.001	1	0	2.78255e-07	0	1.19786e-06	0	1	0
0.002	1.00001	0	1.11303e-06	0	4.79153e-06	0	1	0
0.003	1.00002	0	2.50436e-06	0	1.07812e-05	0	1.00001	0
0.004	1.00004	0	4.4523e-06	0	1.91674e-05	0	1.00001	0
0.005	1.00006	0	6.95693e-06	0	2.99506e-05	0	1.00002	0
0.006	1.00009	0	1.00184e-05	0	4.31315e-05	0	1.00003	0
0.007	1.00012	0	1.36367e-05	0	5.87111e-05	0	1.00004	0
0.008	1.00015	0	1.78121e-05	0	7.66904e-05	0	1.00005	0
0.009	1.0002	0	2.25447e-05	0	9.70706e-05	0	1.00007	0
0.01	1.00024	0	2.78348e-05	0	0.000119853	0	1.00009	0
0.011	1.00029	0	3.36825e-05	0	0.000145039	0	1.0001	0
0.012	1.00035	0	4.00881e-05	0	0.000172631	0	1.00012	0
0.013	1.00041	0	4.70519e-05	0	0.00020263	0	1.00015	0
0.014	1.00047	0	5.45741e-05	0	0.000235039	0	1.00017	0
0.015	1.00054	0	6.2655e-05	0	0.00026986	0	1.00019	0
0.016	1.00062	0	7.1295e-05	0	0.000307094	0	1.00022	0
0.017	1.0007	0	8.04944e-05	0	0.000346745	0	1.00025	0
0.018	1.00078	0	9.02536e-05	0	0.000388815	0	1.00028	0
0.019	1.00087	0	0.000100573	0	0.000433307	0	1.00031	0
0.02	1.00097	0	0.000111453	0	0.000480224	0	1.00034	0
0.021	1.00107	0	0.000122894	0	0.00052957	0	1.00038	0
0.022	1.00117	0	0.000134897	0	0.000581347	0	1.00042	0
0.023	1.00128	0	0.000147461	0	0.00063556	0	1.00045	0
0.024	1.00139	0	0.000160589	0	0.000692211	0	1.00049	0
0.025	1.00151	0	0.000174279	0	0.000751305	0	1.00054	0
0.026	1.00164	0	0.000188533	0	0.000812847	0	1.00058	0
0.027	1.00177	0	0.000203351	0	0.000876839	0	1.00063	0
0.028	1.0019	0	0.000218734	0	0.000943286	0	1.00067	0
0.029	1.00204	0	0.000234682	0	0.00101219	0	1.00072	0
0.03	1.00218	0	0.000251197	0	0.00108357	0	1.00077	0
0.031	1.00233	0	0.000268278	0	0.00115741	0	1.00083	0
0.032	1.00248	0	0.000285927	0	0.00123372	0	1.00088	0
0.033	1.00264	0	0.000304144	0	0.00131252	0	1.00094	0
0.034	1.00281	0	0.000322931	0	0.0013938	0	1.00099	0
0.035	1.00297	0	0.000342287	0	0.00147758	0	1.00105	0
0.036	1.00315	0	0.000362213	0	0.00156385	0	1.00111	0
0.037	1.00333	0	0.000382711	0	0.00165262	0	1.00118	0
0.038	1.00351	0	0.000403782	0	0.0017439	0	1.00124	0
0.039	1.0037	0	0.000425425	0	0.0018377	0	1.00131	0
0.04	1.00389	0	0.000447642	0	0.00193402	0	1.00138	0
0.041	1.00409	0	0.000470435	0	0.00203286	0	1.00145	0
0.042	1.00429	0	0.000493803	0	0.00213425	0	1.00152	0
0.043	1.0045	0	0.000517748	0	0.00223817	0	1.00159	0
0.044	1.00472	0	0.000542271	0	0.00234465	0	1.00167	0
0.045	1.00493	0	0.000567373	0	0.00245368	0	1.00174	0
0.046	1.00516	0	0.000593055	0	0.00256528	0	1.00182	0
0.047	1.00539	0	0.000619319	0	0.00267945	0	1.0019	0
0.048	1.00562	0	0.000646164	0	0.0027962	0	1.00198	0
0.049	1.00586	0	0.000673592	0	0.00291555	0	1.00207	0
0.05	1.00611	0	0.000701605	0	0.00303748	0	1.00215	0
0.051	1.00635	0	0.000730204	0	0.00316203	0	1.00224	0
0.052	1.00661	0	0.000759389	0	0.00328919	0	1.00233	0
0.053	1.00687	0	0.000789163	0	0.00341898	0	1.00242	0
0.054	1.00713	0	0.000819526	0	0.0035514	0	1.00251	0
0.055	1.00741	0	0.000850479	0	0.00368646	0	1.00261	0
0.056	1.00768	0	0.000882025	0	0.00382417	0	1.0027	0
0.057	1.00796	0	0.000914164	0	0.00396455	0	1.0028	0
0.058	1.00825	0	0.000946897	0	0.0041076	0	1.0029	0
0.059	1.00854	0	0.000980226	0	0.00425334	0	1.003	0
0.06	1.00884	0	0.00101415	0	0.00440177	0	1.00311	0
0.061	1.00914	0	0.00104868	0	0.0045529	0	1.00321	0
0.062	1.00945	0	0.00108381	0	0.00470675	0	1.00332	0
0.063	1.00976	0	0.00111953	0	0.00486332	0	1.00343	0
0.064	1.01008	0	0.00115587	0	0.00502264	0	1.00354	0
0.065	1.0104	0	0.0011928	0	0.0051847	0	1.00365	0
0.066	1.01073	0	0.00123035	0	0.00534953	0	1.00376	0
0.067	1.01106	0	0.0012685	0	0.00551713	0	1.00388	0
0.068	1.0114	0	0.00130726	0	0.00568752	0	1.004	0
0.069	1.01175	0	0.00134663	0	0.0058607	0	1.00411	0
0.07	1.0121	0	0.00138662	0	0.0060367	0	1.00424	0
0.071	1.01246	0	0.00142722	0	0.00621553	0	1.00436	0
0.072	1.01282	0	0.00146844	0	0.00639719	0	1.00448	0
0.073	1.01318	0	0.00151028	0	0.00658171	0	1.00461	0
0.074	1.01356	0	0.00155273	0	0.00676909	0	1.00474	0
0.075	1.01394	0	0.00159582	0	0.00695935	0	1.00487	0
0.076	1.01432	0	0.00163952	0	0.00715251	0	1.005	0
0.077	1.01471	0	0.00168385	0	0.00734858	0	1.00513	0
0.078	1.01511	0	0.00172881	0	0.00754758	0	1.00527	0
0.079	1.01551	0	0.0017744	0	0.00774951	0	1.0054	0
0.08	1.01591	0	0.00182062	0	0.0079544	0	1.00554	0
0.081	1.01633	0	0.00186748	0	0.00816226	0	1.00568	0
0.082	1.01675	0	0.00191497	0	0.00837311	0	1.00583	0
0.083	1.01717	0	0.0019631	0	0.00858696	0	1.00597	0
0.084	1.0176	0	0.00201187	0	0.00880384	0	1.00612	0
0.085	1.01804	0	0.00206129	0	0.00902375	0	1.00626	0
0.086	1.01848	0	0.00211134	0	0.00924672	0	1.00641	0
0.087	1.01893	0	0.00216205	0	0.00947276	0	1.00657	0
0.088	1.01938	0	0.00221341	0	0.00970189	0	1.00672	0
0.089	1.01984	0	0.00226542	0	0.00993413	0	1.00688	0
0.09	1.0203	0	0.00231808	0	0.0101695	0	1.00703	0
0.091	1.02078	0	0.0023714	0	0.010408	0	1.00719	0
0.092	1.02125	0	0.00242538	0	0.0106497	0	1.00735	0
0.093	1.02174	0	0.00248002	0	0.0108946	0	1.00751	0
0.094	1.02223	0	0.00253533	0	0.0111426	0	1.00768	0
0.095	1.02272	0	0.0025913	0	0.0113939	0	1.00785	0
0.096	1.02323	0	0.00264794	0	0.0116485	0	1.00801	0
0.097	1.02373	0	0.00270526	0	0.0119063	0	1.00818	0
0.098	1.02425	0	0.00276325	0	0.0121674	0	1.00836	0
0.099	1.02477	0	0.00282192	0	0.0124318	0	1.00853	0
0.1	1.0253	0	0.00288126	0	0.0126995	0	1.00871	0
0.101	1.02583	0	0.00294129	0	0.0129706	0	1.00888	0
0.102	1.02637	0	0.00300201	0	0.0132451	0	1.00906	0
0.103	1.02692	0	0.00306342	0	0.013523	0	1.00924	0
0.104	1.02747	0	0.00312552	0	0.0138043	0	1.00943	0
0.105	1.02803	0	0.00318831	0	0.014089	0	1.00961	0
0.106	1.0286	0	0.0032518	0	0.0143772	0	1.0098	0
0.107	1.02917	0	0.00331599	0	0.0146689	0	1.00999	0
0.108	1.02975	0	0.00338089	0	0.0149642	0	1.01018	0
0.109	1.03033	0	0.00344649	0	0.015263	0	1.01037	0
0.11	1.03093	0	0.0035128	0	0.0155653	0	1.01056	0
0.111	1.03153	0	0.00357983	0	0.0158713	0	1.01076	0
0.112	1.03213	0	0.00364757	0	0.0161809	0	1.01096	0
