x1,x2,x3,x4,x5,x6,x7,x8,x9
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
-0.02010009765651688,1,1,1,1,1,1,1,1
-0.053767089844392046,1,1,1,1,1,1,1,1
-0.10090087890723964,1,1,1,1,1,1,1,1
-0.1682348632821018,1,1,1,1,1,1,1,1
-0.24903564453282456,1,1,1,1,1,1,1,1
-0.3500366210946737,1,1,1,1,1,1,1,1
-0.47123779297031376,1,1,1,1,1,1,1,1
-0.6126391601579684,1,1,1,1,1,1,1,1
-0.7675073242197072,1,1,1,1,1,1,1,1
-0.942575683595237,1,1,1,1,1,1,1,1
-1.1445776367198235,1,1,1,1,1,1,1,1
-1.3600463867202706,1,1,1,1,1,1,1,1
-1.6024487304697743,1,1,1,1,1,1,1,1
-1.865051269533069,1,1,1,1,1,1,1,1
-2.154587402344532,-0.026833496094447185,1,1,1,1,1,1,1
-2.4643237304697863,-0.06050048828232235,1,1,1,1,1,1,1
-2.794260253907943,-0.10763427734428177,1,1,1,1,1,1,1
-3.157863769533087,-0.18170166015707423,1,1,1,1,1,1,1
