x1,x2,x3,x4,x5,x6,x7,x8,x9
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
-0.013366699218586575,1,1,1,1,1,1,1,1
-0.053767089844392046,1,1,1,1,1,1,1,1
-0.1211010742192542,1,1,1,1,1,1,1,1
-0.21536865234406122,1,1,1,1,1,1,1,1
-0.3433032226576316,1,1,1,1,1,1,1,1
-0.5049047851581889,1,1,1,1,1,1,1,1
-0.7001733398448451,-0.02010009765651688,1,1,1,1,1,1,1
-0.9291088867202646,-0.06050048828232235,1,1,1,1,1,1,1
-1.191711425782671,-0.14130126953215694,1,1,1,1,1,1,1
-1.4947143554699949,-0.24230224609489426,1,1,1,1,1,1,1
-1.8381176757831241,-0.38370361328254887,1,1,1,1,1,1,1
-2.2219213867202825,-0.5520385742201483,1,1,1,1,1,1,1
-2.6461254882832463,-0.7607739257826651,1,1,1,1,1,1,1
-3.1107299804702393,-1.003176269533057,-0.04703369140734992,1,1,1,1,1,1
-3.62920166015801,-1.285979003907478,-0.11436767578221207,1,1,1,1,1,1
-4.18807373046981,-1.6024487304697743,-0.21536865234406122,1,1,1,1,1,1
-4.794079589845346,-1.959318847657876,-0.3500366210946737,1,1,1,1,1,1
-5.453952636719883,-2.363322753907937,-0.511638183595231,1,1,1,1,1,1
-6.160959472658156,-2.8077270507829155,-0.7136401367198175,1,1,1,1,1,1
-6.921833496095431,-3.2992651367198533,-0.9560424804702095,-0.013366699218586575,1,1,1,1,1
-7.736574707032595,-3.8312036132825966,-1.2321118164075884,-0.06050048828232235,1,1,1,1,1
-8.61191650390758,-4.4102758789081875,-1.5485815429698846,-0.13456787109422663,1,1,1,1,1
-9.534392089845412,-5.04321533203278,-1.9054516601579863,-0.24230224609489426,1,1,1,1,1
-10.524201660158106,-5.72328857422022,-2.302722167970117,-0.38370361328254887,1,1,1,1,1
-11.567878417969801,-6.450495605469619,-2.7403930664080534,-0.5655053710951208,1,1,1,1,1
