x1,x2,x3,x4,x5,x6,x7,x8,x9
-8.180979003907574,-11.049406738282919,1,1,1,1,1,1,1
-8.093444824219809,-11.029206542970016,1,1,1,1,1,1,1
-7.985710449220029,-10.921472167970236,1,1,1,1,1,1,1
-7.87797607422025,-10.901271972658222,1,1,1,1,1,1,1
-7.750041503907568,-10.786804199219624,1,1,1,1,1,1,1
-7.635573730469858,-10.732937011719734,1,1,1,1,1,1,1
-7.500905761720134,-10.679069824219845,1,1,1,1,1,1,1
-7.37297119140834,-10.456867675783243,1,1,1,1,1,1,1
-7.19790283203281,-10.349133300782576,1,1,1,1,1,1,1
-7.0632348632830855,-10.281799316407714,1,1,1,1,1,1,1
-6.90836669921957,-10.194265136719949,1,1,1,1,1,1,1
-6.746765136719901,-9.91819580078257,1,1,1,1,1,1,1
-6.57843017578319,-9.891262207032625,1,1,1,1,1,1,1
-6.40336181640766,-9.823928222657763,1,1,1,1,1,1,1
-6.221560058595088,-9.635393066408149,1,1,1,1,1,1,1
-6.039758300782516,-9.446857910157647,1,1,1,1,1,1,1
-5.857956542969944,-9.312189941407922,1,1,1,1,1,1,1
-5.662687988283288,-9.116921386720378,1,1,1,1,1,1,1
-5.474152832032786,-8.968786621094793,-13.796633300782624,1,1,1,1,1,1
-5.278884277345242,-8.793718261720151,-13.278161621094853,1,1,1,1,1,1
-5.076882324219767,-8.578249511719704,-13.224294433594963,1,1,1,1,1,1
-4.8748803710951805,-8.416647949220035,-12.934758300782612,1,1,1,1,1,1
-4.672878417969706,-8.174245605469643,-12.901091308594737,1,1,1,1,1,1
-4.470876464845119,-7.972243652345057,-12.800090332032887,1,1,1,1,1,1
-4.268874511719645,-7.750041503907568,-12.665422363283163,1,1,1,1,1,1
-4.060139160158016,-7.554772949220023,-12.524020996095508,1,1,1,1,1,1
-3.8581372070325415,-7.325837402344604,-12.24795166015813,1,1,1,1,1,1
-3.6494018554700247,-7.09016845703303,-12.19408447265824,1,1,1,1,1,1
-3.44739990234455,-6.888166503907556,-11.817014160158124,1,1,1,1,1,1
-3.2453979492199636,-6.6659643554700665,-11.689079589845441,1,1,1,1,1,1
-3.043395996095377,-6.437028808594647,-11.39954345703309,1,1,1,1,1,1
-2.848127441407833,-6.2013598632830735,-11.271608886720408,1,1,1,1,1,1
-2.6461254882832463,-5.972424316407654,-11.029206542970016,1,1,1,1,1,1
-2.457590332032744,-5.736755371095192,-10.739670410157665,1,1,1,1,1,1
-2.26905517578313,-5.507819824219773,-10.450134277345313,1,1,1,1,1,1
-2.080520019532628,-5.2721508789081994,-10.234665527344866,1,1,1,1,1,1
-1.898718261720056,-5.03648193359485,-9.91146240234464,1,1,1,1,1,1
-1.7236499023445262,-4.800812988283276,-9.817194824219833,1,1,1,1,1,1
-1.555314941407815,-4.565144042969926,-9.561325683595356,1,1,1,1,1,1
-1.3937133789081457,-4.336208496095395,-9.285256347657977,1,1,1,1,1,1
-1.2321118164075884,-4.100539550782933,-9.00918701171971,1,1,1,1,1,1
-1.0839770507828916,-3.871604003907514,-8.793718261720151,1,1,1,1,1,1
-0.942575683595237,-3.6426684570329826,-8.470515136719925,1,1,1,1,1,1
-0.8079077148446245,-3.420466308594605,-8.194445800782546,1,1,1,1,1,1
-0.6799731445328305,-3.198264160158004,-7.925109863283097,1,1,1,1,1,1
-0.5587719726580787,-2.982795410157557,-7.662507324219803,1,1,1,1,1,1
-0.451037597657411,-2.767326660157998,-7.399904785158284,1,1,1,1,1,1
-0.356770019532604,-2.5585913085945933,-7.123835449220017,1,1,1,1,1,1
-0.2692358398448391,-2.356589355470007,-6.847766113282638,1,1,1,1,1,1
-0.19516845703204666,-2.154587402344532,-6.57843017578319,1,1,1,1,1,1
-0.1278344726571845,-1.9660522460949181,-6.309094238282853,-13.581164550783065,1,1,1,1,1
-0.08070068359433691,-1.777517089845304,-6.039758300782516,-13.204094238282948,1,1,1,1,1
-0.040300292969419615,-1.5957153320327322,-5.770422363283068,-12.894357910157694,1,1,1,1,1
-0.013366699218586575,-1.4273803710951327,-5.501086425782731,-12.712556152345122,1,1,1,1,1
1,-1.2590454101575332,-5.238483886720324,-12.503820800782606,1,1,1,1,1
1,-1.1041772460949062,-4.975881347657918,-12.19408447265824,1,1,1,1,1
1,-0.9493090820331673,-4.713278808594623,-11.790080566408179,1,1,1,1,1
1,-0.8146411132825548,-4.450676269533105,-11.419743652345105,1,1,1,1,1
1,-0.6799731445328305,-4.201540527344783,-11.271608886720408,1,1,1,1,1
1,-0.5587719726580787,-3.9456713867203064,-10.901271972658222,1,1,1,1,1
1,-0.451037597657411,-3.7032690429699144,-10.571335449220065,1,1,1,1,1
1,-0.3500366210946737,-3.4608666992195225,-10.227932128907824,1,1,1,1,1
1,-0.262502441407797,-3.2184643554700187,-9.897995605469667,1,1,1,1,1
1,-0.18843505859411636,-2.9895288085945992,-9.642126464845191,1,1,1,1,1
1,-0.1211010742192542,-2.760593261720068,-9.332390136719937,1,1,1,1,1
1,-0.07396728515729478,-2.5383911132825787,-9.01592041015764,1,1,1,1,1
1,-0.03356689453237749,-2.32292236328302,-8.665783691408357,1,1,1,1,1
1,-0.013366699218586575,-2.120920410157545,-8.416647949220035,1,1,1,1,1
1,1,-1.9189184570329587,-8.032844238282877,1,1,1,1,1
1,1,-1.7236499023445262,-7.743308105469637,1,1,1,1,1
1,1,-1.5418481445328425,-7.447038574220244,1,1,1,1,1
