x1,x2,x3,x4,x5,x6,x7,x8,x9
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
-0.040300292969419615,1,1,1,1,1,1,1,1
-0.09416748046930934,1,1,1,1,1,1,1,1
-0.18170166015707423,1,1,1,1,1,1,1,1
-0.28943603515774186,1,1,1,1,1,1,1,1
-0.42410400390746616,1,1,1,1,1,1,1,1
-0.5924389648450656,1,1,1,1,1,1,1,1
-0.78770751953261,1,1,1,1,1,1,1,1
-1.0166430664080295,-0.02010009765651688,1,1,1,1,1,1,1
-1.2792456054695478,-0.06050048828232235,1,1,1,1,1,1,1
-1.5755151367198295,-0.13456787109422663,1,1,1,1,1,1,1
-1.9054516601579863,-0.22883544921903365,1,1,1,1,1,1,1
-2.26905517578313,-0.356770019532604,1,1,1,1,1,1,1
-2.673059082033191,-0.511638183595231,1,1,1,1,1,1,1
-3.1174633789081696,-0.693439941407803,1,1,1,1,1,1,1
-3.595534667970135,-0.9156420898452922,1,1,1,1,1,1,1
-4.120739746094948,-1.1647778320327262,1,1,1,1,1,1,1
-4.686345214844678,-1.4475805664080355,-0.040300292969419615,1,1,1,1,1,1
-5.299084472658144,-1.770783691408262,-0.10090087890723964,1,1,1,1,1,1
-5.952224121094751,-2.120920410157545,-0.18843505859411636,1,1,1,1,1,1
-6.652497558595094,-2.518190917969676,-0.3096362304697564,1,1,1,1,1,1
-7.393171386720354,-2.949128417969682,-0.45777099609534133,1,1,1,1,1,1
-8.187712402344616,-3.420466308594605,-0.6395727539079132,1,1,1,1,1,1
-9.036120605469655,-3.932204589845334,-0.8483081054695418,1,1,1,1,1,1
