x1,x2,x3,x4,x5,x6,x7,x8,x9
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
-0.013366699218586575,1,1,1,1,1,1,1,1
-0.040300292969419615,1,1,1,1,1,1,1,1
-0.08743408203226721,1,1,1,1,1,1,1,1
-0.14803466796919906,1,1,1,1,1,1,1,1
-0.23556884765696395,1,1,1,1,1,1,1,1
-0.3365698242197013,1,1,1,1,1,1,1,1
-0.46450439453327164,1,1,1,1,1,1,1,1
-0.6126391601579684,1,1,1,1,1,1,1,1
-0.7809741210946797,1,1,1,1,1,1,1,1
-0.9695092773451819,1,1,1,1,1,1,1,1
-1.1849780273447408,-0.02010009765651688,1,1,1,1,1,1,1
-1.4273803710951327,-0.053767089844392046,1,1,1,1,1,1,1
-1.6899829101575392,-0.10763427734428177,1,1,1,1,1,1,1
-1.9795190429698906,-0.18170166015707423,1,1,1,1,1,1,1
-2.295988769533075,-0.2759692382827694,1,1,1,1,1,1,1
-2.639392089845316,-0.390437011719591,1,1,1,1,1,1,1
-3.009729003907502,-0.5318383789081338,1,1,1,1,1,1,1
-3.406999511719633,-0.693439941407803,1,1,1,1,1,1,1
-3.8379370117196387,-0.8752416992194867,1,1,1,1,1,1,1
-4.29580810546959,-1.0839770507828916,1,1,1,1,1,1,1
-4.7806127929703734,-1.312912597657423,1,1,1,1,1,1,1
-5.305817871095186,-1.5755151367198295,-0.02010009765651688,1,1,1,1,1,1
-5.857956542969944,-1.8583178710951387,-0.053767089844392046,1,1,1,1,1,1
-6.443762207032577,-2.1680541992195046,-0.10763427734428177,1,1,1,1,1,1
