x1,x2,x3,x4,x5,x6,x7,x8,x9
-1.9862524414078209,-4.686345214844678,-8.968786621094793,1,1,1,1,1,1
-1.5957153320327322,-4.127473144532878,-8.174245605469643,1,1,1,1,1,1
-1.2321118164075884,-3.5820678710951626,-7.554772949220023,-12.840490722657805,1,1,1,1,1
-0.90890869140825,-3.06359619140828,-6.841032714844708,-12.53748779297048,1,1,1,1,1
-0.6261059570329408,-2.5720581054695657,-6.167692871095198,-11.695812988283372,1,1,1,1,1
-0.3971704101575213,-2.1074536132825727,-5.514553222657703,-9.91819580078257,1,1,1,1,1
-0.2086352539070191,-1.6765161132825668,-4.8748803710951805,-9.884528808594695,1,1,1,1,1
-0.08070068359433691,-1.2927124023445202,-4.262141113282603,-9.312189941407922,1,1,1,1,1
-0.013366699218586575,-0.942575683595237,-3.6696020507829274,-8.477248535157855,1,1,1,1,1
1,-0.6463061523449554,-3.1107299804702393,-7.7163745117196925,1,1,1,1,1
1,-0.3971704101575213,-2.585524902344538,-6.989167480470293,1,1,1,1,1
1,-0.2086352539070191,-2.0939868164076003,-6.261960449220005,-12.665422363283163,1,1,1,1
1,-0.07396728515729478,-1.6428491210946916,-5.561687011719663,-11.769880371095276,1,1,1,1
1,1,-1.2455786132825608,-4.881613769533111,-11.035939941407946,1,1,1,1
1,1,-0.8887084960953473,-4.221740722657685,-9.897995605469667,1,1,1,1
1,1,-0.5857055664080235,-3.6022680664080653,-9.332390136719937,1,1,1,1
1,1,-0.3433032226576316,-3.009729003907502,-8.477248535157855,1,1,1,1
1,1,-0.1615014648441715,-2.4643237304697863,-7.669240722657733,1,1,1,1
1,1,-0.04703369140734992,-1.959318847657876,-6.881433105469625,1,1,1,1
1,1,1,-1.5014477539079252,-6.120559082033239,1,1,1,1
1,1,1,-1.097443847657864,-5.373151855470049,-12.577888183595398,1,1,1
1,1,1,-0.7473071289076927,-4.659411621094733,-11.689079589845441,1,1,1
1,1,1,-0.45777099609534133,-3.9793383789081815,-9.91819580078257,1,1,1
1,1,1,-0.24230224609489426,-3.3329321289077285,-9.830661621094805,1,1,1
